epoch,acc,loss,val_acc,val_loss
0,0.521499999910593,0.6936587727069855,0.6309999972581863,0.6780308628082276
1,0.6069999998807907,0.6630799025297165,0.6099999988079071,0.6536645209789276
2,0.6574999982118607,0.6210339850187302,0.6170000040531158,0.6462818759679795
3,0.7059999996423721,0.5638480886816979,0.5709999996423721,0.7650182265043258
4,0.7425000017881394,0.531919170320034,0.6829999989271164,0.592192429304123
5,0.7639999997615814,0.49148630201816557,0.6950000011920929,0.5583259695768357
6,0.7834999990463257,0.46681289583444596,0.7230000007152557,0.5492789149284363
7,0.8015000003576279,0.4313526099920273,0.69200000166893,0.611870978474617
8,0.8135000038146972,0.41359227314591407,0.7230000007152557,0.5397267997264862
9,0.8379999977350235,0.3829048854112625,0.7300000035762787,0.5450704914331436
10,0.8385000038146972,0.36517026513814926,0.7319999992847442,0.5338432067632675
11,0.8589999997615814,0.3379384315013885,0.7400000023841858,0.5407763773202896
12,0.8764999985694886,0.3055356750637293,0.7290000033378601,0.5951826590299606
13,0.8714999979734421,0.293614499643445,0.7440000009536744,0.5757989421486854
14,0.9034999936819077,0.2587924198061228,0.7430000019073486,0.5553357422351837
15,0.9059999960660935,0.23521900244057178,0.7140000033378601,0.6304775831103325
16,0.9204999941587448,0.21772700041532517,0.7449999988079071,0.6248111501336098
17,0.9229999935626984,0.19744564831256867,0.7300000011920929,0.6727562552690506
18,0.9429999941587448,0.17154924340546132,0.7360000002384186,0.652147570848465
19,0.9479999941587448,0.15928664807230233,0.7390000033378601,0.7052454364299774
20,0.9589999943971634,0.1333802303299308,0.7280000007152557,0.7601391327381134
21,0.9604999953508377,0.12231006992980838,0.7480000019073486,0.6876296055316925
22,0.9654999947547913,0.09923274789005518,0.7460000038146972,0.7496459081768989
23,0.9744999945163727,0.0868321937508881,0.7370000034570694,0.7269424700736999
24,0.9814999967813491,0.07210223869420589,0.7379999995231629,0.7835799698531628
25,0.9839999967813492,0.06416428291238845,0.7020000004768372,1.0552975901961326
26,0.9889999979734421,0.04921325997449458,0.7419999980926514,0.9536101099848747
27,0.9924999982118606,0.043466686406172815,0.7219999933242798,0.968974099457264
28,0.9929999989271164,0.03804612428881228,0.7429999995231629,0.965804573148489
29,0.9954999995231628,0.026343349483795464,0.7479999995231629,0.9440843495726585
